Nr,finnkode,tot_pris,kvdmeter_P_B,soverom,rom_ca,etasje,fellesutgifter,bydel_ca,bydel_grov,byggeaar,date_noted
125,195791012,2520770,42,1,2,1,0,Sentrum,Tromso,1954,03.12.2020
126,195757182,6591132,120,3,4,2,4284,Workinnmarka,Tromso,2008,03.12.2020
127,195751195,5426092,113,3,4,2,0,Tromsdalen,Fastlandet,1958,03.12.2020
128,187580210,4378592,132,5,7,1,0,Eidkjosen,Kvaloya,1955,03.12.2020
129,198872634,4562592,110,3,4,1,0,Eidkjosen,Kvaloya,2011,03.12.2020
130,195637857,4931642,113,4,5,1,0,Storelva,Kvaloya,2005,03.12.2020
131,196542023,5833624,160,5,5,1,0,Storelva,Kvaloya,2003,03.12.2020
132,195861937,4778920,102,4,5,1,0,Storelva,Kvaloya,1994,03.12.2020
133,195094101,4511342,101,3,4,1,0,Storelva,Kvaloya,2018,03.12.2020
134,195097854,5649142,144,3,6,1,0,Storelva,Kvaloya,2002,03.12.2020
135,194188169,4357420,105,3,5,1,0,Storelva,Kvaloya,2003,03.12.2020
136,187271728,5259420,142,5,8,1,0,Eidkjosen,Kvaloya,1956,03.12.2020
137,191165808,5700392,151,5,7,1,0,Eidkjosen,Kvaloya,1951,03.12.2020
138,190925828,5638670,146,4,6,1,0,Kvaloysletta,Kvaloya,1980,03.12.2020
139,184276199,2672471,87,2,3,1,5604,Kvaloysletta,Kvaloya,1986,03.12.2020
140,172057672,3783420,329,7,12,1,0,Kaldslett,Kvaloya,2007,03.12.2020
